group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_support,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.018,156.19,100,Both,106.018,156.19,100,Both,0,0,4.20695,4.37178,1.03918,qdpp (dd_real),0,0,0,1.00025,yes,106.018,156.19,100,NaN,0,0,4.20798,1.00025
f128 <-> f128,subtract,f128,subtract,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.007,157.85,100,Both,106.007,157.85,100,Both,0,0,4.2122,4.66538,1.10759,qdpp (dd_real),0,0,0,1.00577,yes,106.007,157.85,100,NaN,0,0,4.2365,1.00577
f128 <-> f128,multiply,f128,multiply,primary,primary,416,boost::multiprecision::cpp_double_double,yes,104.674,142.064,100,Both,104.954,141.299,99.9175,Both,-0.279234,0.0824634,4.20798,5.52005,1.3118,qdpp (dd_real),0,0,0,1.00009,yes,104.674,142.064,100,NaN,0,0,4.20837,1.00009
f128 <-> f128,divide,f128,divide,primary,primary,416,boost::multiprecision::cpp_double_double,yes,104.581,144.327,99.8254,Both,104.581,144.327,99.8254,NaN,0,0,4.20908,6.18,1.46826,boost::multiprecision::cpp_double_double,0,0,0,1.46826,yes,106.159,152.167,100,NaN,-1.57819,-0.174564,10.8879,2.58677
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,133.814,1457.77,10.894,qdpp (dd_real),2.49603,4.99207,1.28303,1.4782,yes,104.187,106.731,98.717,-,4.99207,1.28303,197.805,1.4782
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.63422,155.263,52.4618,-,3.54951,152.561,51.36,-,0.0847128,1.10186,12.8151,58.4574,4.5616,qdpp (dd_real),4.87328,0.0324671,1.85938,1.04139,yes,3.60175,150.39,50.6024,-,0.0324671,1.85938,13.3455,1.04139
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,98.1304,107.646,98.9574,-,98.1304,107.646,98.9574,-,0,0,38.0756,154.523,4.05831,qdpp (dd_real),1.83934,2.84315,0.978005,1.60977,yes,95.2873,105.806,97.9794,-,2.84315,0.978005,61.2929,1.60977
IO,"to_string(brute-bdr, rng, DEF)",f128,"to_string(brute-bdr, rng, DEF)",io,primary,2000,boost::multiprecision::cpp_double_double,yes,0,155.36,48.55,Both,0,155.36,48.55,Both,0,0,232.938,760.013,3.26273,boost::multiprecision::cpp_double_double,0,0,0,3.26273,no,-,-,-,-,-,-,-,-
IO,"to_string(brute-bdr, rng, FIX)",f128,"to_string(brute-bdr, rng, FIX)",io,primary,2000,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,0,154.8,48.375,Both,exact,51.625,180.488,862.413,4.77824,boost::multiprecision::cpp_double_double,exact,160,51.625,4.77824,no,-,-,-,-,-,-,-,-
IO,"to_string(brute-bdr, rng, HEX)",f128,"to_string(brute-bdr, rng, HEX)",io,primary,2000,boost::multiprecision::cpp_double_double,no,exact,160,100,Both,-,-,-,-,-,-,90.9125,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
