group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_support,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.018,156.19,100,Both,106.018,156.19,100,Both,0,0,4.39274,4.65315,1.05928,qdpp (dd_real),0,0,0,0.998486,yes,106.018,156.19,100,NaN,0,0,4.38608,0.998486
f128 <-> f128,subtract,f128,subtract,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.007,157.85,100,Both,106.007,157.85,100,Both,0,0,4.2849,4.45572,1.03986,qdpp (dd_real),0,0,0,1.00427,yes,106.007,157.85,100,NaN,0,0,4.30319,1.00427
f128 <-> f128,multiply,f128,multiply,primary,primary,416,boost::multiprecision::cpp_double_double,yes,104.674,142.064,100,Both,104.954,141.299,99.9175,Both,-0.279234,0.0824634,4.34307,5.40574,1.24468,qdpp (dd_real),0,0,0,1.00368,yes,104.674,142.064,100,NaN,0,0,4.35906,1.00368
f128 <-> f128,divide,f128,divide,primary,primary,416,boost::multiprecision::cpp_double_double,yes,104.581,144.327,99.8254,Both,104.581,144.327,99.8254,NaN,0,0,4.36689,6.35616,1.45554,boost::multiprecision::cpp_double_double,0,0,0,1.45554,yes,106.159,152.167,100,NaN,-1.57819,-0.174564,11.5262,2.63945
Rounding,floor,f128,floor,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.9488,NaN,0,20.0512,4.2534,6.30025,1.48123,qdpp (dd_real),0,0,0,0.995471,yes,exact,160,100,Both,0,0,4.23414,0.995471
Rounding,ceil,f128,ceil,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.9488,NaN,0,20.0512,4.27698,8.08739,1.89091,qdpp (dd_real),0,0,0,0.992234,yes,exact,160,100,Both,0,0,4.24376,0.992234
Rounding,trunc,f128,trunc,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,Both,0,0,4.29648,9.00502,2.0959,qdpp (dd_real),0,0,0,1.07404,yes,exact,160,100,Both,0,0,4.6146,1.07404
Rounding,round,f128,round,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,Both,0,0,6.26881,14.388,2.29517,boost::multiprecision::cpp_double_double,0,0,0,2.29517,yes,15.7075,143.158,79.8701,Both,exact,20.1299,4.29185,0.684635
Rounding,nearbyint,f128,nearbyint,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,52,159.231,79.9268,Both,exact,20.0732,4.34508,14.6184,3.36436,boost::multiprecision::cpp_double_double,exact,108,20.0732,3.36436,yes,15.7075,142.389,79.7969,Both,exact,20.2031,4.31222,0.992437
Rounding,rint,f128,rint,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,52,159.231,79.9268,Both,exact,20.0732,4.33973,14.3997,3.3181,boost::multiprecision::cpp_double_double,exact,108,20.0732,3.3181,yes,15.7075,142.389,79.7971,Both,exact,20.2029,4.3762,1.0084
Rounding,lround,f128,lround,primary,primary,417,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,No,0,0,6.97821,28.6288,4.1026,boost::multiprecision::cpp_double_double,0,0,0,4.1026,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,421,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,No,0,0,4.57913,443.781,96.9138,boost::multiprecision::cpp_double_double,0,0,0,96.9138,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,417,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.9244,No,0,20.0756,4.58856,28.8788,6.29366,boost::multiprecision::cpp_double_double,0,0,20.0756,6.29366,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,421,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,0,159.24,79.9244,No,exact,20.0756,4.56148,446.071,97.7908,boost::multiprecision::cpp_double_double,exact,160,20.0756,97.7908,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,414,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,-16.8168,65.7314,21.7142,NaN,exact,78.2858,27.1084,51.7609,1.90941,qdpp (dd_real),exact,92.5764,68.8169,0.968167,yes,67.4236,127.544,31.1831,NaN,exact,68.8169,26.2454,0.968167
Remainders,remainder,f128,remainder,primary,primary,414,boost::multiprecision::cpp_double_double,yes,103.442,159.337,97.4648,Both,66.7775,127.113,31.4634,NaN,36.6649,66.0013,37.6131,52.0581,1.38404,qdpp (dd_real),32.2235,36.6649,66.0472,0.701315,yes,66.7775,127.113,31.4176,NaN,36.6649,66.0472,26.3786,0.701315
Remainders,remquo,f128,remquo,primary,primary,414,boost::multiprecision::cpp_double_double,yes,103.442,159.337,96.942,Both,66.7775,127.113,31.1775,NaN,36.6649,65.7645,36.7837,51.4801,1.39954,boost::multiprecision::cpp_double_double,32.2235,36.6649,65.7645,1.39954,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f128,fabs,primary,primary,418,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,Both,0,0,4.3402,5.39676,1.24344,qdpp (dd_real),0,0,0,0.986898,yes,exact,160,100,Both,0,0,4.28334,0.986898
Floating-point utilities,fma,f128,fma,primary,primary,412,boost::multiprecision::cpp_double_double,yes,105.139,149.464,100,Both,93.7965,126,99.8371,Both,11.3422,0.162917,7.01936,13.0507,1.85924,boost::multiprecision::cpp_double_double,23.4643,11.3422,0.162917,1.85924,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f128,fmin,primary,primary,416,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,Both,0,0,4.26175,7.43908,1.74555,boost::multiprecision::cpp_double_double,0,0,0,1.74555,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f128,fmax,primary,primary,416,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,Both,0,0,4.23958,7.39821,1.74503,boost::multiprecision::cpp_double_double,0,0,0,1.74503,no,-,-,-,-,-,-,-,-
Floating-point utilities,fdim,f128,fdim,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.007,159.142,100,Both,106.007,159.142,100,No,0,0,4.37796,9.86334,2.25295,boost::multiprecision::cpp_double_double,0,0,0,2.25295,no,-,-,-,-,-,-,-,-
Floating-point utilities,copysign,f128,copysign,primary,primary,416,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.9442,Both,0,20.0558,4.27055,4.2246,0.98924,boost::multiprecision::cpp_double_double,0,0,20.0558,0.98924,no,-,-,-,-,-,-,-,-
Floating-point utilities,ldexp,f128,ldexp,primary,primary,414,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,89.2422,NaN,0,10.7578,4.28779,4.42276,1.03148,qdpp (dd_real),0,0,0,1.0388,yes,exact,160,100,Both,0,0,4.45415,1.0388
Floating-point utilities,scalbn,f128,scalbn,primary,primary,414,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,89.2422,NaN,0,10.7578,4.29319,4.47907,1.0433,qdpp (dd_real),0,0,0,1.04083,yes,exact,160,100,Both,0,0,4.46846,1.04083
Floating-point utilities,scalbln,f128,scalbln,primary,primary,414,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,89.2422,NaN,0,10.7578,4.36084,4.46777,1.02452,qdpp (dd_real),0,0,0,1.02897,yes,exact,160,100,Both,0,0,4.48718,1.02897
Floating-point utilities,frexp,f128,frexp,primary,primary,418,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,NaN,0,0,6.44061,6.57323,1.02059,boost::multiprecision::cpp_double_double,0,0,0,1.02059,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f128,modf,primary,primary,420,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,100,NaN,0,0,6.5946,15.1042,2.29039,boost::multiprecision::cpp_double_double,0,0,0,2.29039,no,-,-,-,-,-,-,-,-
Floating-point utilities,ilogb,f128,ilogb,primary,primary,418,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.5364,Both,0,20.4636,5.38647,5.74311,1.06621,boost::multiprecision::cpp_double_double,0,0,20.4636,1.06621,no,-,-,-,-,-,-,-,-
Floating-point utilities,logb,f128,logb,primary,primary,418,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,exact,160,79.5367,Both,0,20.4633,5.27427,83.9596,15.9187,boost::multiprecision::cpp_double_double,0,0,20.4633,15.9187,no,-,-,-,-,-,-,-,-
Floating-point utilities,nextafter,f128,nextafter,primary,primary,417,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,105.235,125.393,99.4271,Inf,exact,0.572916,8.37942,72.0413,8.5974,boost::multiprecision::cpp_double_double,exact,54.7649,0.572916,8.5974,no,-,-,-,-,-,-,-,-
