group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_support,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,152.628,236.255,99.6879,Both,exact,0.312055,13.5382,56.8338,4.19803,qdpp (qd_real),0,0,0,2.57755,yes,exact,320,100,NaN,0,0,34.8954,2.57755
f256 <-> f256,subtract,f256,subtract,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,154.349,236.57,99.9568,Both,exact,0.0432255,13.657,57.9728,4.24491,qdpp (qd_real),0,0,0,2.77025,yes,exact,320,100,NaN,0,0,37.8334,2.77025
f256 <-> f256,multiply,f256,multiply,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,213.228,249.996,100,Both,exact,0,17.7241,62.4515,3.52354,qdpp (qd_real),0,0,0,1.19827,yes,exact,320,100,Both,0,0,21.2382,1.19827
f256 <-> f256,divide,f256,divide,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,215.082,294.169,100,Both,213,234.635,100,Both,2.08171,0,79.9604,123.882,1.5493,boost::multiprecision::mpfr_float_backend<64>,59.5347,2.08171,0,1.5493,yes,215.082,297.945,100,NaN,0,0,302.054,3.77754
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,217.111,217.208,100,-,214.628,215.967,100,-,2.48274,0,1267.6,3793.64,2.99276,qdpp (qd_real),-0.919407,0.36251,0,2.08415,yes,216.748,218.127,100,-,0.36251,0,2641.87,2.08415
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,126.452,338.587,2.6776,qdpp (qd_real),0,0,0,1.54696,yes,exact,320,100,-,0,0,195.615,1.54696
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,210.229,217.287,99.9094,-,203.263,213.814,99.3502,-,6.96633,0.559193,371.988,992.225,2.66736,qdpp (qd_real),0.209399,0.474229,0.0228703,2.49637,yes,209.755,217.077,99.8865,-,0.474229,0.0228703,928.619,2.49637
IO,"to_string(brute-bdr, rng, DEF)",f256,"to_string(brute-bdr, rng, DEF)",io,primary,2000,boost::multiprecision::mpfr_float_backend<64>,yes,0,315.84,49.35,Both,0,315.84,49.35,Both,0,0,370.363,885.45,2.39077,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.39077,no,-,-,-,-,-,-,-,-
IO,"to_string(brute-bdr, rng, FIX)",f256,"to_string(brute-bdr, rng, FIX)",io,primary,2000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,100,Both,0,0,267.575,1431.21,5.34883,boost::multiprecision::mpfr_float_backend<64>,0,0,0,5.34883,no,-,-,-,-,-,-,-,-
IO,"to_string(brute-bdr, rng, HEX)",f256,"to_string(brute-bdr, rng, HEX)",io,primary,2000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,Both,-,-,-,-,-,-,138.125,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
