group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_support,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,152.628,236.255,99.6879,Both,exact,0.312055,13.6182,57.5489,4.22589,qdpp (qd_real),0,0,0,2.62337,yes,exact,320,100,NaN,0,0,35.7256,2.62337
f256 <-> f256,subtract,f256,subtract,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,154.349,236.57,99.9568,Both,exact,0.0432255,13.8717,58.8027,4.23904,qdpp (qd_real),0,0,0,2.64834,yes,exact,320,100,NaN,0,0,36.7371,2.64834
f256 <-> f256,multiply,f256,multiply,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,213.228,249.996,100,Both,exact,0,18.0752,62.8773,3.47865,qdpp (qd_real),0,0,0,1.18259,yes,exact,320,100,Both,0,0,21.3755,1.18259
f256 <-> f256,divide,f256,divide,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,215.082,294.169,100,Both,213,234.635,100,Both,2.08171,0,79.4537,117.953,1.48455,boost::multiprecision::mpfr_float_backend<64>,59.5347,2.08171,0,1.48455,yes,215.082,297.945,100,NaN,0,0,311.702,3.92307
Rounding,floor,f256,floor,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,99.9303,Both,0,0.0697354,10.1413,48.1737,4.75026,qdpp (qd_real),0,0,0,0.846075,yes,exact,320,100,Both,0,0,8.58028,0.846075
Rounding,ceil,f256,ceil,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,99.9082,Both,0,0.09183,10.0334,54.4928,5.43114,qdpp (qd_real),0,0,0,0.861142,yes,exact,320,100,Both,0,0,8.64018,0.861142
Rounding,trunc,f256,trunc,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,99.765,Both,0,0.235029,12.3107,50.7295,4.12077,qdpp (qd_real),0,0,0,0.730009,yes,exact,320,100,Both,0,0,8.98692,0.730009
Rounding,round,f256,round,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,99.8241,Both,0,0.175852,14.4074,103.435,7.1793,boost::multiprecision::mpfr_float_backend<64>,0,0,0.175852,7.1793,yes,12.2088,290.548,79.8606,Both,exact,20.1394,8.98312,0.623508
Rounding,nearbyint,f256,nearbyint,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,52,316.265,79.9262,Both,exact,20.0738,12.5428,114.023,9.0907,boost::multiprecision::mpfr_float_backend<64>,exact,268,20.0738,9.0907,yes,12.2088,286.814,79.7798,Both,exact,20.2202,8.98261,0.716158
Rounding,rint,f256,rint,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,52,316.265,79.9264,Both,exact,20.0736,12.8902,112.966,8.76376,boost::multiprecision::mpfr_float_backend<64>,exact,268,20.0736,8.76376,yes,12.2088,286.814,79.791,Both,exact,20.209,9.02406,0.700072
Rounding,lround,f256,lround,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,100,No,0,0,10.2641,141.769,13.8121,boost::multiprecision::mpfr_float_backend<64>,0,0,0,13.8121,no,-,-,-,-,-,-,-,-
Rounding,llround,f256,llround,primary,primary,216,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,100,No,0,0,7.52379,260.308,34.5981,boost::multiprecision::mpfr_float_backend<64>,0,0,0,34.5981,no,-,-,-,-,-,-,-,-
Rounding,lrint,f256,lrint,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,exact,320,79.924,No,0,20.076,10.1857,165.262,16.2249,boost::multiprecision::mpfr_float_backend<64>,0,0,20.076,16.2249,no,-,-,-,-,-,-,-,-
