group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.53,132.842,100,Yes,105.53,132.842,100,Yes,0,0,4.32535,8.53781,1.9739,qdpp (dd_real),0,0,0,1.00267,yes,105.53,132.842,100,No,0,0,4.3369,1.00267
f128 <-> f128,subtract,f128,subtract,primary,primary,414,boost::multiprecision::cpp_double_double,yes,106.233,134.132,100,Yes,106.233,134.132,100,Yes,0,0,4.3618,8.53101,1.95585,qdpp (dd_real),0,0,0,0.994028,yes,106.233,134.132,100,No,0,0,4.33575,0.994028
f128 <-> f128,multiply,f128,multiply,primary,primary,414,boost::multiprecision::cpp_double_double,yes,104.496,139.816,100,Yes,104.496,139.802,99.9555,No,0,0.0444784,4.3383,9.41538,2.17029,qdpp (dd_real),0,0,0,1.01197,yes,104.496,139.816,100,No,0,0,4.39025,1.01197
f128 <-> f128,divide,f128,divide,primary,primary,414,boost::multiprecision::cpp_double_double,yes,103.574,123.764,99.9118,Yes,103.574,123.764,99.9118,No,0,0,4.36935,9.34473,2.1387,boost::multiprecision::cpp_double_double,0,0,0,2.1387,yes,106.099,124.197,100,No,-2.52582,-0.0881935,11.2967,2.58543
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,131.638,1433.44,10.8893,qdpp (dd_real),2.49603,4.99207,1.28303,1.51588,yes,104.187,106.731,98.717,-,4.99207,1.28303,199.547,1.51588
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,13.4454,58.8343,4.3758,qdpp (dd_real),1.83759,-0.185565,0.724835,0.995065,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,13.379,0.995065
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,98.1304,107.646,98.9574,-,98.1304,107.646,98.9574,-,0,0,42.9725,156.435,3.64034,qdpp (dd_real),1.83934,2.84315,0.978005,1.43756,yes,95.2873,105.806,97.9794,-,2.84315,0.978005,61.7754,1.43756
IO,"to_string(big-dec, 15, default)",f128,"to_string(big-dec, 15, default)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,231.525,678.175,2.92917,boost::multiprecision::cpp_double_double,0,0,0,2.92917,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, fixed)",f128,"to_string(big-dec, 15, fixed)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,134.2,757.725,5.64624,boost::multiprecision::cpp_double_double,0,0,0,5.64624,yes,102.948,159.013,99.2983,-,exact,0.701696,934.225,6.96144
IO,"to_string(big-dec, 15, hexfloat)",f128,"to_string(big-dec, 15, hexfloat)",io,primary,1000,boost::multiprecision::cpp_double_double,no,exact,160,100,-,-,-,-,-,-,-,120.9,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
