group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.351,259.338,100,Yes,153.119,224.36,100,Yes,62.2318,0,13.8513,56.7194,4.09488,qdpp (qd_real),0,0,0,2.13058,yes,215.351,259.338,100,No,0,0,29.5112,2.13058
f256 <-> f256,subtract,f256,subtract,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.533,259.008,100,Yes,153.759,226.925,100,Yes,61.7736,0,13.5348,55.383,4.0919,qdpp (qd_real),0,0,0,2.16922,yes,215.533,259.008,100,No,0,0,29.3599,2.16922
f256 <-> f256,multiply,f256,multiply,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,250.493,100,Yes,212.896,245.982,100,Yes,2.31408,0,17.8416,61.9008,3.46947,qdpp (qd_real),0,0,0,1.20179,yes,215.21,250.493,100,No,0,0,21.4418,1.20179
f256 <-> f256,divide,f256,divide,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.829,233.603,100,Yes,213.204,227.513,100,Yes,1.62497,0,71.1529,112.516,1.58132,boost::multiprecision::mpfr_float_backend<64>,6.09,1.62497,0,1.58132,yes,214.829,233.944,100,No,0,0,297.464,4.18063
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,217.111,217.208,100,-,214.628,215.967,100,-,2.48274,0,1437.29,4237.24,2.94807,qdpp (qd_real),-0.919407,0.36251,0,1.97064,yes,216.748,218.127,100,-,0.36251,0,2832.39,1.97064
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,127.208,367.491,2.8889,qdpp (qd_real),0,0,0,1.60586,yes,exact,320,100,-,0,0,204.279,1.60586
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,210.229,217.287,99.9094,-,203.263,213.814,99.3502,-,6.96633,0.559193,391.788,1031.75,2.63345,qdpp (qd_real),0.209399,0.474229,0.0228703,2.60102,yes,209.755,217.077,99.8865,-,0.474229,0.0228703,1019.05,2.60102
IO,"to_string(big-dec, 15, default)",f256,"to_string(big-dec, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,275.4,614.425,2.23103,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.23103,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, fixed)",f256,"to_string(big-dec, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,547.45,960.475,1.75445,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.75445,yes,exact,320,100,-,0,0,13619.2,24.8776
IO,"to_string(big-dec, 15, hexfloat)",f256,"to_string(big-dec, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,218.95,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, scientific)",f256,"to_string(big-dec, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,397.95,620.975,1.56043,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.56043,yes,exact,320,100,-,0,0,1379.7,3.46702
IO,"to_string(big-dec, 31, default)",f256,"to_string(big-dec, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,333.775,711.1,2.13048,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.13048,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 31, fixed)",f256,"to_string(big-dec, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,721.55,1140.92,1.58121,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.58121,yes,exact,320,100,-,0,0,13606.5,18.8574
IO,"to_string(big-dec, 31, hexfloat)",f256,"to_string(big-dec, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,212.4,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 31, scientific)",f256,"to_string(big-dec, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,275.5,737.45,2.67677,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.67677,yes,104.286,319.569,89.7876,-,exact,10.2124,2212.45,8.03067
IO,"to_string(big-dec, 63, default)",f256,"to_string(big-dec, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,555.425,779.825,1.40401,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.40401,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 63, fixed)",f256,"to_string(big-dec, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,1001.3,1292.42,1.29075,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.29075,yes,215.02,219.625,100,-,exact,0,13681.2,13.6635
