group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.53,132.842,100,Yes,105.53,132.842,100,Yes,0,0,4.31545,4.38915,1.01708,boost::multiprecision::cpp_double_double,0,0,0,1.01708,yes,105.53,132.842,100,No,0,0,4.3212,1.00133
f128 <-> f128,subtract,f128,subtract,primary,primary,414,boost::multiprecision::cpp_double_double,yes,106.233,134.132,100,Yes,106.233,134.132,100,Yes,0,0,4.30375,4.3774,1.01711,boost::multiprecision::cpp_double_double,0,0,0,1.01711,yes,106.233,134.132,100,No,0,0,4.29845,0.998769
f128 <-> f128,multiply,f128,multiply,primary,primary,414,boost::multiprecision::cpp_double_double,yes,104.496,139.816,100,Yes,104.496,139.802,99.9039,No,0,0.0961224,4.25086,121.156,28.5015,qdpp (dd_real),0,0,0,0.99953,yes,104.496,139.816,100,No,0,0,4.24886,0.99953
f128 <-> f128,divide,f128,divide,primary,primary,414,boost::multiprecision::cpp_double_double,yes,103.574,123.764,99.8762,Yes,103.574,123.764,99.8762,No,0,0,4.2832,120.961,28.2407,qdpp (dd_real),-0.432636,-2.52582,-0.123772,3.23021,yes,106.099,124.197,100,No,-2.52582,-0.123772,13.8356,3.23021
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.179,109.227,100,-,105.205,107.24,99.4373,-,3.97402,0.562711,133.103,15037.4,112.976,qdpp (dd_real),2.49603,4.99207,1.28303,2.37174,yes,104.187,106.731,98.717,-,4.99207,1.28303,315.686,2.37174
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,13.2721,353.578,26.6407,qdpp (dd_real),1.83759,-0.185565,0.724835,1.1806,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,15.669,1.1806
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,99.4338,107.795,99.1173,-,99.4338,107.795,99.1173,-,0,0,39.926,1070.44,26.8105,qdpp (dd_real),1.97331,2.99741,1.00997,2.38247,yes,96.4364,105.821,98.1073,-,2.99741,1.00997,95.1223,2.38247
IO,"to_string(big-dec, 15, default)",f128,"to_string(big-dec, 15, default)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,242.9,411.1,1.69247,boost::multiprecision::cpp_double_double,0,0,0,1.69247,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, fixed)",f128,"to_string(big-dec, 15, fixed)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,141.225,475.675,3.36821,boost::multiprecision::cpp_double_double,0,0,0,3.36821,yes,102.948,159.013,99.2983,-,exact,0.701696,1387.7,9.82616
IO,"to_string(big-dec, 15, hexfloat)",f128,"to_string(big-dec, 15, hexfloat)",io,primary,1000,boost::multiprecision::cpp_double_double,no,exact,160,100,-,-,-,-,-,-,-,202.225,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, scientific)",f128,"to_string(big-dec, 15, scientific)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,263.425,466.175,1.76967,qdpp (dd_real),0,0,0,1.23555,yes,exact,160,100,-,0,0,325.475,1.23555
IO,"to_string(big-dec, 31, default)",f128,"to_string(big-dec, 31, default)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,200.525,478.7,2.38723,boost::multiprecision::cpp_double_double,0,0,0,2.38723,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 31, fixed)",f128,"to_string(big-dec, 31, fixed)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,175.4,612.175,3.49017,boost::multiprecision::cpp_double_double,0,0,0,3.49017,yes,106.913,109.751,100,-,exact,0,1437.42,8.19513
IO,"to_string(big-dec, 31, hexfloat)",f128,"to_string(big-dec, 31, hexfloat)",io,primary,1000,boost::multiprecision::cpp_double_double,no,exact,160,100,-,-,-,-,-,-,-,203.725,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 31, scientific)",f128,"to_string(big-dec, 31, scientific)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,252.025,519.8,2.06249,boost::multiprecision::cpp_double_double,0,0,0,2.06249,yes,103.082,154.825,98.9746,-,exact,1.02537,522.6,2.0736
IO,"to_string(big-dec, 7, default)",f128,"to_string(big-dec, 7, default)",io,primary,1000,boost::multiprecision::cpp_double_double,yes,exact,160,100,-,exact,160,100,-,0,0,157.4,400.6,2.54511,boost::multiprecision::cpp_double_double,0,0,0,2.54511,no,-,-,-,-,-,-,-,-
