group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
f256 <-> f256,add,f256,add,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.351,259.338,100,Yes,153.119,224.36,100,Yes,62.2318,0,12.5723,63.5845,5.05749,qdpp (qd_real),0,0,0,2.00522,yes,215.351,259.338,100,No,0,0,25.2104,2.00522
f256 <-> f256,subtract,f256,subtract,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.533,259.008,100,Yes,153.759,226.925,100,Yes,61.7736,0,12.8368,64.3507,5.01297,qdpp (qd_real),0,0,0,1.94443,yes,215.533,259.008,100,No,0,0,24.9603,1.94443
f256 <-> f256,multiply,f256,multiply,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,250.493,100,Yes,212.896,245.982,100,Yes,2.31408,0,18.8919,78.3592,4.14778,qdpp (qd_real),0,0,0,2.30474,yes,215.21,250.493,100,No,0,0,43.5409,2.30474
f256 <-> f256,divide,f256,divide,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215.233,234.298,100,Yes,213.204,227.513,100,Yes,2.02889,0,74.0596,106.349,1.436,boost::multiprecision::mpfr_float_backend<64>,6.78521,2.02889,0,1.436,yes,214.829,233.944,100,No,0.403923,0,305.838,4.12962
Mixed Workloads,affine trig transform,f256,affine transform,mixed,stress,28,boost::multiprecision::mpfr_float_backend<64>,yes,217.111,217.208,100,-,214.628,215.967,100,-,2.48274,0,1320.98,7887.64,5.97107,qdpp (qd_real),-0.919407,0.36251,0,3.43026,yes,216.748,218.127,100,-,0.36251,0,4531.29,3.43026
Mixed Workloads,mandelbrot kernel,f256,mandelbrot,mixed,stress,3072,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,141.344,549.814,3.88988,qdpp (qd_real),0,0,0,1.63235,yes,exact,320,100,-,0,0,230.723,1.63235
Mixed Workloads,mixed arithmetic,f256,mixed arithmetic,mixed,stress,196,boost::multiprecision::mpfr_float_backend<64>,yes,210.553,217.709,99.9046,-,207.626,213.954,99.6266,-,2.92717,0.277962,415.106,2508.82,6.04381,qdpp (qd_real),0.471644,0.583701,0.0403278,3.59253,yes,209.969,217.238,99.8643,-,0.583701,0.0403278,1491.28,3.59253
IO,"to_string(big-dec, 15, default)",f256,"to_string(big-dec, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,304.175,502.675,1.65258,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.65258,no,-,-,-,-,-,-,-,-
IO,"to_string(big-dec, 15, fixed)",f256,"to_string(big-dec, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,691.825,865.4,1.25089,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.25089,yes,exact,320,100,-,0,0,17309.8,25.0206
IO,"to_string(big-dec, 15, hexfloat)",f256,"to_string(big-dec, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,362.425,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
